Sat,Lat,Lon,Alt,date
27,-4.172,117.0708,20044609.64496202,2018-05-01T00:00:00Z
21,54.0332,135.4113,20177364.234003843,2018-05-01T00:00:00Z
22,-18.8512,71.7267,20101855.41475591,2018-05-01T00:00:00Z
23,45.4065,72.1653,20275478.576643775,2018-05-01T00:00:00Z
1,55.5213,123.8793,20051244.503901012,2018-05-01T00:00:00Z
3,-1.4184,61.1546,20215203.256934598,2018-05-01T00:00:00Z
16,42.0818,101.3412,19948288.8515554,2018-05-01T00:00:00Z
14,-14.1495,134.6439,20020004.497570462,2018-05-01T00:00:00Z
32,-34.9308,149.0611,20137638.187826622,2018-05-01T00:00:00Z
31,25.4424,162.5836,20398169.56985137,2018-05-01T00:00:00Z
29,56.2566,-139.9894,20182813.057151574,2018-05-01T00:00:00Z
27,-5.172,118.0708,20044609.64496202,2018-05-02T00:00:00Z
21,53.0332,136.4113,20177364.234003843,2018-05-02T00:00:00Z
22,-19.8512,72.7267,20101855.41475591,2018-05-02T00:00:00Z
23,44.4065,73.1653,20275478.576643775,2018-05-02T00:00:00Z
1,54.5213,124.8793,20051244.503901012,2018-05-02T00:00:00Z
3,-2.4184,62.1546,20215203.256934598,2018-05-02T00:00:00Z
16,41.0818,102.3412,19948288.8515554,2018-05-02T00:00:00Z
14,-15.1495,135.6439,20020004.497570462,2018-05-02T00:00:00Z
32,-35.9308,150.0611,20137638.187826622,2018-05-02T00:00:00Z
31,24.4424,163.5836,20398169.56985137,2018-05-02T00:00:00Z
29,55.2566,-138.9894,20182813.057151574,2018-05-02T00:00:00Z
27,-6.172,119.0708,20044609.64496202,2018-05-03T00:00:00Z
21,52.0332,137.4113,20177364.234003843,2018-05-03T00:00:00Z
22,-20.8512,73.7267,20101855.41475591,2018-05-03T00:00:00Z
23,43.4065,74.1653,20275478.576643775,2018-05-03T00:00:00Z
1,53.5213,125.8793,20051244.503901012,2018-05-03T00:00:00Z
3,-3.4184,63.1546,20215203.256934598,2018-05-03T00:00:00Z
16,40.0818,103.3412,19948288.8515554,2018-05-03T00:00:00Z
14,-16.1495,136.6439,20020004.497570462,2018-05-03T00:00:00Z
32,-36.9308,151.0611,20137638.187826622,2018-05-03T00:00:00Z
31,23.4424,164.5836,20398169.56985137,2018-05-03T00:00:00Z
29,54.2566,-137.9894,20182813.057151574,2018-05-03T00:00:00Z
27,-7.172,120.0708,20044609.64496202,2018-05-04T00:00:00Z
21,51.0332,138.4113,20177364.234003843,2018-05-04T00:00:00Z
22,-21.8512,74.7267,20101855.41475591,2018-05-04T00:00:00Z
23,42.4065,75.1653,20275478.576643775,2018-05-04T00:00:00Z
1,52.5213,126.8793,20051244.503901012,2018-05-04T00:00:00Z
3,-4.4184,64.1546,20215203.256934598,2018-05-04T00:00:00Z
16,39.0818,104.3412,19948288.8515554,2018-05-04T00:00:00Z
14,-17.1495,137.6439,20020004.497570462,2018-05-04T00:00:00Z
32,-37.9308,152.0611,20137638.187826622,2018-05-04T00:00:00Z
31,22.4424,165.5836,20398169.56985137,2018-05-04T00:00:00Z
29,53.2566,-136.9894,20182813.057151574,2018-05-04T00:00:00Z
27,-8.172,121.0708,20044609.64496202,2018-05-05T00:00:00Z
21,50.0332,139.4113,20177364.234003843,2018-05-05T00:00:00Z
22,-22.8512,75.7267,20101855.41475591,2018-05-05T00:00:00Z
23,41.4065,76.1653,20275478.576643775,2018-05-05T00:00:00Z
1,51.5213,127.8793,20051244.503901012,2018-05-05T00:00:00Z
3,-5.4184,65.1546,20215203.256934598,2018-05-05T00:00:00Z
16,38.0818,105.3412,19948288.8515554,2018-05-05T00:00:00Z
14,-18.1495,138.6439,20020004.497570462,2018-05-05T00:00:00Z
32,-38.9308,153.0611,20137638.187826622,2018-05-05T00:00:00Z
31,21.4424,166.5836,20398169.56985137,2018-05-05T00:00:00Z
29,52.2566,-135.9894,20182813.057151574,2018-05-05T00:00:00Z
27,-9.172,122.0708,20044609.64496202,2018-05-06T00:00:00Z
21,49.0332,140.4113,20177364.234003843,2018-05-06T00:00:00Z
22,-23.8512,76.7267,20101855.41475591,2018-05-06T00:00:00Z
23,40.4065,77.1653,20275478.576643775,2018-05-06T00:00:00Z
1,50.5213,128.8793,20051244.503901012,2018-05-06T00:00:00Z
3,-6.4184,66.1546,20215203.256934598,2018-05-06T00:00:00Z
16,37.0818,106.3412,19948288.8515554,2018-05-06T00:00:00Z
14,-19.1495,139.6439,20020004.497570462,2018-05-06T00:00:00Z
32,-39.9308,154.0611,20137638.187826622,2018-05-06T00:00:00Z
31,20.4424,167.5836,20398169.56985137,2018-05-06T00:00:00Z
29,51.2566,-134.9894,20182813.057151574,2018-05-06T00:00:00Z
